,Sample,Station,Time,DHW,Depth,D1_ratio,C1_ratio,C3_ratio,C15_ratio,C21_ratio,C27_ratio,C42_ratio,C71_ratio,C90_ratio,C91_ratio,C116_ratio,D_numbers,C_numbers,ASV_numbers,Algal_symbionts,Chlorophyll,Density,Carbohydrate,Protein,Lipid,Ea,Ec,CEA,N15,C13,C_N_ratio,Chao1,ACE,Shannon,Simpson
1,Pa-20au-HGJ-1,HGJ,20au,5.76,4.2,0.0035,0.4598,0.016,0.1943,0,0,0.3264,0,0,0,0,147,41601,41748,Mixed,2.569,4.689,0.112,0.219,0.697,34.722,177.47,195.651,1.466,-20.449,4.729,378.0769231,377.5347191,3.412004404,0.86129456
2,Pa-20au-HGJ-2,HGJ,20au,5.76,4.2,0.6794,0.2129,0.0218,0.0093,0.0192,0,0.0393,0,0,0,0.0181,84642,40055,124697,Mixed,4.33,2.378,0.118,0.284,0.182,16.045,202.373,79.286,2.534,-18.428,4.642,436.2307692,434.7376138,4.653008889,0.958599005
3,Pa-20au-HGJ-3,HGJ,20au,5.76,4.2,0.4587,0.5059,0,0.0051,0,0,0.016,0,0,0,0.0143,28321,33439,61760,Mixed,7.137,2.151,0.141,0.475,0.783,44.788,211.613,211.651,2.135,-18.064,3.725,513.7333333,512.9990053,3.85179402,0.8901868
4,Pa-20au-HGJ-4,HGJ,20au,5.76,4.2,0.0012,0.3561,0.0057,0.5347,0,0,0.1023,0,0,0,0,102,88570,88672,Mixed,3.566,3.343,0.034,0.336,0.847,42.119,197.39,213.381,0.836,-20.601,4.728,574.3333333,560.0387177,4.232819393,0.957484435
5,Pa-20au-HGJ-5,HGJ,20au,5.76,4.2,0.8487,0.097,0,0.0298,0,0,0.0245,0,0,0,0,53867,9604,63471,D1-dominated,5.164,2.546,0.114,0.196,0.538,27.928,213.406,130.869,2.184,-19.469,4.181,353.1707317,347.5246659,3.029931442,0.88716246
6,Pa-20au-HGJ-6,HGJ,20au,5.75,0.8,0.353,0.6173,0,0.0221,0,0,0.0075,0,0,0,0,22326,40914,63240,Mixed,3.796,7.764,0.086,0.377,0.761,40.606,221.764,183.104,3.328,-18.213,5.216,563.9375,562.4631847,4.43311262,0.954080225
7,Pa-20au-HGJ-7,HGJ,20au,5.75,0.8,0.8187,0.1553,0,0.0104,0,0,0.0156,0,0,0,0,50329,11413,61742,D1-dominated,6.493,4.515,0.144,0.233,0.623,32.752,275.461,118.898,4.124,-18.589,4.659,416.0322581,413.3410474,3.860648089,0.916908555
8,Pa-20au-HGJ-8,HGJ,20au,5.75,0.8,0.8727,0.0784,0,0.0251,0,0,0.0238,0,0,0,0,54496,7950,62446,D1-dominated,1.855,6.699,0.134,0.265,0.495,28.259,138.842,203.53,4.449,-18.585,4.707,715.5185185,707.6461303,4.941267461,0.97466881
9,Pa-20au-HGJ-9,HGJ,20au,5.75,0.8,0.642,0.2754,0.0209,0.0165,0.003,0,0.0366,0,0,0,0.0055,38319,21372,59691,Mixed,4.493,2.621,0.436,0.242,0.588,36.66,209.144,175.285,3.59,-17.505,4.536,652.0895522,649.8305839,4.271468441,0.93625781
10,Pa-20au-HGJ-10,HGJ,20au,5.75,0.8,0.8808,0.0727,0,0.0241,0,0,0.0225,0,0,0,0,56272,7619,63891,D1-dominated,6.267,4.33,0.469,0.251,0.564,36.529,234.467,155.795,4.808,-17.325,4.325,646.4307692,645.4801381,4.777743518,0.973067485
11,Pa-20au-JQD-1,JQD,20au,9.92,3.1,0.2688,0.7212,0.0028,0,0,0,0.0072,0,0,0,0,16267,44248,60515,Mixed,3.485,3.604,0.079,0.394,1.64,75.61,289.33,261.327,4.358,-16.9,4.445,370.9565217,360.9145851,3.275762193,0.889392205
12,Pa-20au-JQD-2,JQD,20au,9.92,3.1,0.6508,0.274,0.0108,0.0102,0.0041,0,0.0387,0,0,0,0.0115,38948,20981,59929,Mixed,4.032,3.901,0.139,0.319,1.607,73.545,283.877,259.074,3.897,-16.893,4.724,633.3787879,634.6770082,4.548052142,0.957972635
13,Pa-20au-JQD-3,JQD,20au,9.92,3.1,0.8071,0.1209,0,0.0018,0,0,0.0159,0,0,0,0.0543,51266,12274,63540,D1-dominated,5.855,1.58,0.135,0.222,1.339,60.572,251.802,240.556,3.972,-16.226,4.459,518.9032258,516.6336536,4.414332848,0.958208245
14,Pa-20au-JQD-4,JQD,20au,9.92,3.1,0.8005,0.1061,0.0044,0.0007,0.0007,0,0.0229,0,0,0,0.0648,49892,12548,62440,D1-dominated,5.033,1.564,0.092,0.367,1.181,57.054,323.756,176.227,4.342,-16.588,4.531,381.5454545,378.2696917,4.000425883,0.94700086
15,Pa-20au-JQD-5,JQD,20au,10.28,12.2,0.853,0.079,0,0.0024,0,0,0.0175,0,0,0,0.0481,51748,8953,60701,D1-dominated,3.802,1.262,0.075,0.231,0.524,27.566,151.815,181.579,4.11,-18.112,4.761,629.9361702,616.7068969,4.853763372,0.979003865
16,Pa-20au-JQD-6,JQD,20au,10.28,12.2,0.8493,0.0671,0.0011,0.0018,0,0,0.014,0,0,0,0.0666,53957,9622,63579,D1-dominated,0.755,2.463,0.109,0.409,0.757,41.61,293.787,141.635,3.845,-16.38,5.061,488.8846154,482.4906766,4.684935652,0.97241915
17,Pa-20au-JQD-7,JQD,20au,10.28,12.2,0.8769,0.0505,0,0.0014,0,0,0.0091,0,0,0,0.0621,56450,7982,64432,D1-dominated,4.581,0.847,0.038,0.195,0.164,11.824,109.857,107.629,4.591,-17.105,4.584,515.2068966,513.0641277,4.896441694,0.976714965
18,Pa-20au-JQD-8,JQD,20au,9.92,19.9,0.4639,0.5169,0,0.0041,0,0,0.0104,0,0,0,0.0047,26343,30543,56886,Mixed,2.936,0.628,0.077,0.038,0.163,8.695,150.994,57.586,3.883,-17.157,4.415,527.44,526.8251213,4.983414422,0.979070345
19,Pa-20au-JQD-9,JQD,20au,9.92,19.9,0.4607,0.4369,0.0341,0.0147,0.0052,0,0.044,0,0,0,0.0043,27589,32330,59919,Mixed,2.329,2.551,0.123,0.285,0.176,15.953,331.33,48.148,4.434,-18.137,5.505,715.3111111,721.2415782,4.656417888,0.95626706
20,Pa-20au-LYJ-1,LYJ,20au,10.71,0.7,0.8113,0.1253,0.0048,0.0077,0.0006,0,0.0228,0,0,0,0.0275,51943,12081,64024,D1-dominated,1.311,6.268,0.092,0.47,0.41,29.088,391.456,74.307,2.16,-17.939,5.557,555.7763158,563.2458675,4.548444922,0.971959215
21,Pa-20au-LYJ-2,LYJ,20au,10.71,0.7,0.7604,0.2029,0,0.011,0,0,0.0161,0,0,0,0.0095,49630,15636,65266,Mixed,1.237,12.269,0.149,0.551,0.52,36.362,406.216,89.515,2.916,-17.896,4.3,577.1111111,573.9843262,5.182867597,0.984266325
22,Pa-20au-LYJ-3,LYJ,20au,10.71,0.7,0.6856,0.2638,0,0.0068,0,0,0.0177,0,0,0,0.026,44881,20580,65461,Mixed,2.155,4.491,0.022,0.344,0.505,28.619,359.954,79.507,0.599,-18.524,4.469,590.4117647,589.5437292,4.730965487,0.96946881
23,Pa-20au-LYJ-4,LYJ,20au,10.71,3.7,0.7842,0.2084,0.0013,0.005,0,0,0.0011,0,0,0,0,48350,13306,61656,Mixed,2.346,2.512,0.147,0.437,0.663,39.261,359.064,109.342,4.929,-16.25,4.612,427,422.9638449,3.942695308,0.93311734
24,Pa-20au-LYJ-5,LYJ,20au,10.71,3.7,0.9971,0.0024,0,0,0,0,0.0005,0,0,0,0,67101,193,67294,D1-dominated,2.479,2.493,0.143,0.099,0.659,30.893,400.18,77.197,2.159,-17.587,4.848,667.5116279,670.7406317,4.416858864,0.958268025
25,Pa-20au-LYJ-6,LYJ,20au,10.77,8.7,0.7244,0.1981,0.0129,0.0179,0.0056,0,0.0363,0,0,0,0.0049,45483,17311,62794,Mixed,1.58,4.347,0.053,0.394,0.814,42.534,203.699,208.807,3.885,-17.455,4.608,824.5111111,827.3898668,5.293427512,0.985204065
26,Pa-20au-LYJ-7,LYJ,20au,10.77,8.7,0.9808,0.0149,0.0015,0,0,0,0.0028,0,0,0,0,65074,1273,66347,D1-dominated,4.24,1.795,0.137,0.36,0.483,30.094,362.858,82.935,3.599,-17.444,4.454,926.9468085,914.8658814,5.057782778,0.973356975
27,Pa-20au-LYJ-8,LYJ,20au,10.77,8.7,0.9774,0.017,0.0016,0,0,0,0.0039,0,0,0,0,65928,1529,67457,D1-dominated,3.719,2.058,0.131,0.333,1.023,50.71,345.716,146.68,3.194,-18.836,5.231,686.1818182,670.5814618,4.581678597,0.96057397
28,Pa-20au-LYJ-9,LYJ,20au,10.77,8.7,0.4467,0.5105,0.0047,0.0105,0,0,0.0104,0,0,0,0.0173,28463,35257,63720,Mixed,2.379,4.151,0.076,0.653,1.14,62.065,556.366,111.554,2.963,-18.147,4.631,409.2962963,419.6881717,2.12118866,0.62847694
29,Pa-20au-LYJ-10,LYJ,20au,10.71,0.7,0.2787,0.6875,0.0018,0.0118,0,0,0.0106,0,0,0,0.0097,18111,46871,64982,Mixed,1.387,8.134,0.064,0.417,0.292,22.678,388.614,58.356,4.842,-15.788,5.182,534.0612245,530.3533831,3.818566041,0.92575486
30,Pa-20au-YY-1,YY,20au,12.04,1.5,0.9113,0.0232,0.0023,0.0009,0,0,0.0053,0,0,0,0.0571,60124,5893,66017,D1-dominated,3.184,4.872,0.143,0.44,0.218,21.67,212.811,101.826,5.07,-18.531,4.386,319,304.5397433,4.079938502,0.96088664
31,Pa-20au-YY-2,YY,20au,12.04,1.5,0.8551,0.0704,0,0.0013,0,0,0.012,0,0,0,0.0612,53950,9209,63159,D1-dominated,1.306,4.107,0.111,0.368,0.221,19.513,226.123,86.293,4.676,-18.476,5.24,553.0566038,551.9466081,4.366755042,0.95597453
32,Pa-20au-YY-3,YY,20au,12.04,1.5,0.8668,0.0629,0.0003,0.001,0,0,0.0109,0,0,0,0.0581,55746,8605,64351,D1-dominated,1.961,3.446,0.1,0.279,0.108,12.727,207.443,61.352,5.754,-17.039,5.445,446.1219512,436.563213,3.822705967,0.936022585
33,Pa-20au-YY-4,YY,20au,12.04,1.5,0.8527,0.0648,0.0008,0.0013,0,0,0.0115,0,0,0,0.0689,53656,9340,62996,D1-dominated,2.37,5.244,0.206,0.407,0.193,20.987,346.172,60.625,5.016,-18.029,4.852,556.4545455,547.9378762,4.473815955,0.961302115
34,Pa-20au-YY-5,YY,20au,12.01,6.7,0.3507,0.6321,0,0.0106,0,0,0.0066,0,0,0,0,23453,43423,66876,Mixed,3.202,7.77,0.088,0.262,0.236,17.165,350.474,48.975,3.589,-17.694,4.371,416.1052632,416.288544,4.610920422,0.954801575
35,Pa-20au-YY-6,YY,20au,12.01,6.7,0.0675,0.13,0.0051,0,0,0,0.7974,0,0,0,0,3542,48897,52439,Mixed,4.688,5.384,0.128,0.348,0.194,18.276,289.464,63.136,3.098,-17.142,4.54,472.55,472.11873,4.776462352,0.96860232
36,Pa-20au-YY-7,YY,20au,12.01,6.7,0.7487,0.204,0.0051,0.0116,0.0019,0,0.0203,0,0,0,0.0084,47204,15848,63052,Mixed,2.501,10.965,0.081,0.32,0.283,20.295,369.819,54.879,3.971,-17.8,5.096,540.4761905,520.8730216,4.579696047,0.955187175
37,Pa-20au-YY-8,YY,20au,12.04,11.3,0.8346,0.1604,0.0011,0.0033,0,0,0.0005,0,0,0,0,52577,10417,62994,D1-dominated,3.021,3.503,0.114,0.339,0.054,12.275,278.942,44.005,4.161,-17.913,4.468,322.0243902,320.4004953,2.502253395,0.747542665
38,Pa-20au-YY-9,YY,20au,12.04,11.3,0.8374,0.1585,0,0.0037,0,0,0.0004,0,0,0,0,50662,9836,60498,D1-dominated,2.67,8.603,0.253,0.342,0.042,14.295,482.691,29.615,4.86,-17.421,4.416,500.1578947,501.6197577,3.944295027,0.93762166
39,Pa-20au-YY-10,YY,20au,12.04,11.3,0.836,0.1597,0,0.0039,0,0,0.0004,0,0,0,0,52103,10223,62326,D1-dominated,2.299,2.341,0.126,0.258,0.055,10.582,205.792,51.421,3.238,-19.973,5.034,232.21875,230.8244801,1.836861608,0.6505734
40,Pa-20au-YY-11,YY,20au,12.04,11.3,0.8501,0.1459,0,0.0028,0,0,0.0012,0,0,0,0,53032,9352,62384,D1-dominated,2.146,1.951,0.118,0.22,0.008,7.679,240.95,31.87,2.597,-20.097,6.567,465.6666667,452.8058726,2.969974189,0.78466153
41,Pa-20au-YY-12,YY,20au,12.04,1.5,0.8554,0.0788,0.0013,0.0012,0,0,0.014,0,0,0,0.0492,53404,9064,62468,D1-dominated,1.572,3.993,0.137,0.35,0.182,17.999,174.063,103.408,5.432,-18.353,4.805,664.5416667,664.0614394,4.706773182,0.97246398
42,Pa-20au-YY-13,YY,20au,12.01,6.7,0.6635,0.285,0,0.0145,0,0,0.0313,0,0,0,0.0057,36832,18679,55511,Mixed,2.954,4.508,0.104,0.355,0.065,12.891,373.722,34.494,3.341,-17.082,4.422,540.5,539.3161671,4.940034923,0.981733285
43,Pa-20au-YY-14,YY,20au,12.01,6.7,0.6405,0.3015,0.0084,0.005,0.0026,0,0.0401,0,0,0,0.002,25841,14543,40384,Mixed,5.882,1.305,0.096,0.408,0.224,20.322,348.472,58.318,2.687,-17.818,4.509,360.0909091,358.4627639,3.629622859,0.920681185
44,Pa-20au-ZSD-1,ZSD,20au,9.72,2,0.898,0.0381,0,0.0012,0,0,0.0063,0,0,0,0.0564,57101,6522,63623,D1-dominated,2.356,7.57,0.102,0.644,0.905,52.995,279.19,189.819,5.486,-18.326,5.072,739.7692308,740.5593169,5.097822222,0.98000974
45,Pa-20au-ZSD-2,ZSD,20au,9.72,2,0.7296,0.1972,0,0.0066,0,0,0.0214,0,0,0,0.0451,44607,16562,61169,Mixed,1.911,11.651,0.187,0.573,1.092,60.135,459.884,130.762,3.817,-19.207,5.436,736.5,729.5181451,5.181054244,0.98434691
46,Pa-20au-ZSD-3,ZSD,20au,9.72,2,0.9047,0.0294,0.0015,0.0005,0.0005,0,0.0052,0,0,0,0.0582,58802,6231,65033,D1-dominated,3.109,9.148,0.315,0.591,0.2,27.624,393.962,70.119,3.586,-17.961,5.431,602.972973,591.5565961,4.706023867,0.969709595
47,Pa-20au-ZSD-4,ZSD,20au,9.72,2,0.8866,0.0487,0.001,0.0012,0,0,0.0084,0,0,0,0.0542,54908,7048,61956,D1-dominated,4.787,6.494,0.142,0.554,0.356,29.819,356.139,83.73,2.02,-21.112,4.322,704.6470588,703.2830489,5.032705736,0.97857208
48,Pa-21sp-BD-1,BD,21sp,0,8.3,0.9426,0,0,0.0574,0,0,0,0,0,0,0,105290,6718,112008,D1-dominated,4.183,2.443,0.35,0.507,1.212,66.171,567.625,116.575,3.441,-19.965,6.176,486.25,486.3773998,5.132261812,0.987279135
49,Pa-21sp-BD-2,BD,21sp,0,8.7,0.8884,0.0895,0.0016,0.0019,0,0,0.0047,0,0.0083,0,0.0057,59034,7670,66704,D1-dominated,2.166,6.513,0.19,0.546,1.008,56.273,326.539,172.332,2.939,-21.178,6.353,379.4285714,373.0967403,4.48941354,0.95979549
50,Pa-21sp-BSZ-1,BSZ,21sp,0,5.5,0.9673,0.0144,0.0056,0.0004,0,0,0,0.0003,0.012,0,0,107675,3818,111493,D1-dominated,3.052,4.361,0.375,0.699,1.117,67.468,631.195,106.89,4.022,-18.007,5.451,157.1176471,163.7791598,1.339446841,0.556202535
51,Pa-21sp-BSZ-2,BSZ,21sp,0,5.5,0.9836,0,0.0058,0.0106,0,0,0,0,0,0,0,106462,1773,108235,D1-dominated,2.586,5.039,0.495,0.63,1.062,65.748,700.648,93.84,3.23,-22.214,6.096,134.5,137.4140314,1.690774303,0.66291884
52,Pa-21sp-BSZ-3,BSZ,21sp,0,5.5,0.9717,0,0,0,0,0,0,0,0,0.0283,0,99133,2976,102109,D1-dominated,2.03,8.767,0.462,0.784,1.14,71.94,596.805,120.543,3.552,-21.125,6.711,199.5333333,203.3017365,2.245790477,0.743579525
53,Pa-21sp-DD-1,DD,21sp,0,8.5,1,0,0,0,0,0,0,0,0,0,0,68067,236,68303,D1-dominated,2.592,7.542,0.125,0.505,1.138,59.271,694.982,85.285,2.7,-20.116,4.342,259.1428571,256.9446741,3.003166689,0.863450625
54,Pa-21sp-DD-2,DD,21sp,0,8.5,0.7652,0.2275,0.0065,0.0008,0,0,0.0001,0,0,0,0,51784,15892,67676,Mixed,2.987,6.303,0.116,0.661,0.861,51.901,413.147,125.625,3.54,-19.006,4.509,223.6666667,222.7393758,3.056277705,0.88449201
55,Pa-21sp-DD-3,DD,21sp,0,8.5,0.57,0,0,0,0,0,0,0,0,0,0.43,37749,29693,67442,Mixed,3.519,7.831,0.226,0.55,0.86,51.13,423.086,120.85,3.229,-19.468,4.348,254.1818182,254.0852714,2.750065469,0.791338745
56,Pa-21sp-JQD-1,JQD,21sp,0,0.6,0.9586,0.0347,0.0067,0,0,0,0,0,0,0,0,47349,2360,49709,D1-dominated,2.335,5.505,0.133,0.602,0.711,44.87,576.142,77.88,2.913,-18.66,5.372,152.1111111,146.3882539,2.872820059,0.88579628
57,Pa-21sp-JQD-2,JQD,21sp,0,0.6,0.9764,0.0226,0.001,0,0,0,0,0,0,0,0,102917,2492,105409,D1-dominated,4.232,4.99,0.145,0.6,1.204,64.481,544.669,118.385,2.996,-17.499,5.474,245.9411765,246.1278944,1.45794065,0.54933212
58,Pa-21sp-JQD-3,JQD,21sp,0,0.6,0.9287,0.0292,0.0334,0,0.0087,0,0,0,0,0,0,91625,7038,98663,D1-dominated,4.416,5.255,0.143,0.523,1.142,60.161,568.1,105.898,2.825,-23.915,6.825,261.53125,261.980261,1.578946373,0.551368705
59,Pa-21sp-JYD-1,JYD,21sp,0,5.2,0.9697,0.0287,0.0007,0.0004,0,0.0006,0,0,0,0,0,39526,27165,66691,D1-dominated,3.292,4.865,0.169,0.675,0.749,48.756,411.6,118.455,1.159,-20.887,7.533,285.516129,287.7078161,3.529010991,0.9173493
60,Pa-21sp-JYD-2,JYD,21sp,0,5.2,0.0594,0.9121,0.0212,0.0016,0,0,0.0057,0,0,0,0,3704,58630,62334,C1-dominated,6.604,1.767,0.134,0.633,0.739,46.74,412.369,113.345,1.172,-20.737,7.03,165.2352941,163.4924895,2.309014935,0.828941895
61,Pa-21sp-JYD-3,JYD,21sp,0,5.2,0.996,0,0,0,0,0.0004,0,0,0,0,0.0036,67958,273,68231,D1-dominated,7.644,1.642,0.525,0.789,0.921,64.512,556.664,115.89,1.812,-20.8,6.207,132.6666667,128.7890007,2.049683183,0.7175322
62,Pa-21sp-LHJ-1,LHJ,21sp,0,9.2,0.0229,0.0006,0,0.0011,0,0,0,0,0,0,0.9753,1030,61753,62783,Mixed,6.789,2.319,0.147,0.647,1.396,73.245,376.44,194.572,3.735,-19.408,5.112,110.5454545,110.2823508,2.546300321,0.88465804
63,Pa-21sp-LYJ-1,LYJ,21sp,0,4.6,0.8092,0.1866,0.0043,0,0,0,0,0,0,0,0,18282,50192,68474,D1-dominated,5.383,1.625,0.602,0.815,0.853,63.787,504.325,126.481,2.255,-19.382,5.312,158.6666667,162.0016611,2.750171675,0.83409694
64,Pa-21sp-LYJ-2,LYJ,21sp,0,4.6,0.1469,0.8328,0,0.0199,0,0,0,0.0002,0,0,0.0003,9919,57948,67867,C1-dominated,1.844,6.023,0.328,0.869,0.552,48.404,268.615,180.199,1.66,-20.551,6.042,152.5652174,157.7642309,2.779599206,0.853405665
65,Pa-21sp-LYJ-3,LYJ,21sp,0,4.6,0.8567,0.0849,0.0033,0.0266,0.0016,0.0223,0,0.0046,0,0,0,53664,13963,67627,D1-dominated,2.382,3.334,0.508,0.763,0.676,53.889,459.754,117.213,1.934,-19.241,5.405,159.3333333,161.7167312,2.439173893,0.735175955
66,Pa-21sp-NSZ-1,NSZ,21sp,0,1.5,0.999,0.001,0,0,0,0,0,0,0,0,0,108052,106,108158,D1-dominated,2.163,5.446,0.152,0.665,1.047,59.994,555.066,108.084,3.632,-17.867,5.988,191.1818182,187.8860191,1.443474463,0.56831793
67,Pa-21sp-NSZ-2,NSZ,21sp,0,1.5,0.8832,0,0,0.1004,0.0164,0,0,0,0,0,0,91162,12092,103254,D1-dominated,3.739,6.072,0.139,0.573,0.916,52.352,582.832,89.824,3.147,-20.227,6.598,171.04,174.4737651,1.432805451,0.549752135
68,Pa-21sp-NSZ-3,NSZ,21sp,0,1.5,0.0043,0.9957,0,0,0,0,0,0,0,0,0,269,62778,63047,C1-dominated,3.564,1.998,0.279,0.409,0.994,53.959,674.509,79.997,4.065,-20.508,7.506,127.3157895,129.6486196,1.861709048,0.73431421
69,Pa-21sp-PSY-1,PSY,21sp,0,5.8,0.9871,0.01,0.0029,0,0,0,0,0,0,0,0,64715,3381,68096,D1-dominated,3.923,6.727,0.23,0.67,0.89,55.264,525.43,105.18,3.423,-22.228,5.69,276.5,274.7706993,3.830956943,0.95777675
70,Pa-21sp-PSY-2,PSY,21sp,0,5.8,0.9872,0.0073,0.001,0,0,0,0,0.0041,0,0,0.0003,54443,12292,66735,D1-dominated,3,7.029,0.331,0.621,0.984,59.534,574.788,103.576,4.048,-19.597,4.812,308.6666667,305.4074618,3.393908572,0.87333117
71,Pa-21sp-SHD-1,CHD,21sp,0,3.1,0.0041,0.9959,0,0,0,0,0,0,0,0,0,260,63333,63593,C1-dominated,2.439,8.122,0.125,0.45,0.454,30.92,409.833,75.445,4.659,-18.786,4.605,204.6521739,205.7397786,2.412515016,0.820813825
72,Pa-21sp-SY-1,SY,21sp,0,7.6,0.9992,0.0008,0,0,0,0,0,0,0,0,0,46989,20478,67467,D1-dominated,2.461,7.391,0.253,0.677,2.044,101.401,443.659,228.555,1.599,-19.458,5.29,218.1052632,218.6154115,3.071603066,0.894360725
73,Pa-21sp-SY-2,SY,21sp,0,7.6,0.1963,0.7998,0,0,0,0,0.0039,0,0,0,0,11717,48101,59818,Mixed,4.686,4.735,0.296,0.596,2.09,102.033,701.795,145.389,1.875,-20.878,5.933,223.8,223.1559192,3.64371679,0.938203755
74,Pa-21sp-SY-3,SY,21sp,0,7.6,0.995,0.005,0,0,0,0,0,0,0,0,0,67675,377,68052,D1-dominated,4.383,2.704,0.408,0.747,1.299,76.369,493.582,154.724,2.088,-19.36,4.847,218.5714286,218.733695,2.821077237,0.81618888
75,Pa-21sp-XSZ-1,XSZ,21sp,0,6.2,0.9806,0,0,0.0194,0,0,0,0,0,0,0,66539,1319,67858,D1-dominated,4.538,4.414,0.221,0.532,0.59,39.919,435.328,91.699,3.507,-17.905,4.714,160.9565217,163.2852925,2.542326409,0.83527924
76,Pa-21sp-XSZ-2,XSZ,21sp,0,6.2,0.8024,0.1498,0.0003,0.0049,0,0,0.0232,0,0,0,0.0194,21238,45878,67116,D1-dominated,2.126,8.083,0.297,0.634,0.81,52.418,570.808,91.832,3.278,-20.884,5.311,304.1,303.8118513,4.820441006,0.986591475
77,Pa-21sp-XSZ-3,XSZ,21sp,0,6.2,0.899,0.0802,0.0138,0.007,0,0,0,0,0,0,0,56844,8988,65832,D1-dominated,2.604,4.677,0.228,0.49,1.014,55.819,584.912,95.432,-0.013,-19.604,1.456,227.4545455,221.6900419,2.157113112,0.754355625
78,Pa-21sp-YGD-1,YGD,21sp,0,1.5,0.9583,0.0417,0,0,0,0,0,0,0,0,0,65457,2848,68305,D1-dominated,6.992,3.294,0.69,0.39,1.12,65.688,633.753,103.649,1.297,-20.572,5.426,257.7692308,259.1222518,4.291412975,0.96025487
79,Pa-21sp-YGD-2,YGD,21sp,0,1.5,0.9988,0,0.001,0,0,0,0,0,0,0,0.0002,67692,84,67776,D1-dominated,4.63,3.225,0.422,0.471,0.798,50.19,425.252,118.024,2.01,-19.851,5.257,344.6,345.9572787,3.287488137,0.808451745
80,Pa-21sp-YXD-1,YXD,21sp,0,3,0.9481,0.0469,0,0.0006,0,0,0.0015,0,0,0,0.003,61957,3397,65354,D1-dominated,2.462,4.274,0.153,0.524,1.174,61.612,597.636,103.093,3.299,-23.153,6.577,168.7142857,166.506251,1.622716948,0.60838346
81,Pa-21sp-YXD-2,YXD,21sp,0,3,0.6863,0,0.2942,0.0195,0,0,0,0,0,0,0,66602,30731,97333,Mixed,9.041,1.164,0.132,0.57,1.036,56.925,453.067,125.644,3.716,-18.448,4.934,188.6363636,189.7906986,2.041474633,0.680327835
82,Pa-21sp-YXD-3,YXD,21sp,0,3,0.8678,0.0377,0.0767,0.0003,0,0,0.0066,0,0,0,0.0109,56336,9793,66129,D1-dominated,11.441,2.394,0.175,0.588,1.318,69.203,734.348,94.237,3.158,-19.267,4.96,168.6363636,173.1983522,2.174334359,0.73298729
83,Pa-21sp-YY-1,YY,21sp,0,1.6,0.9121,0.0082,0.0044,0.0028,0,0,0,0.0011,0,0.0712,0,25998,32069,58067,D1-dominated,1.597,6.249,0.235,0.683,0.599,44.184,297.274,148.631,0.063,-19.716,6.662,202.8965517,205.7763475,2.519648044,0.75571278
84,Pa-21sp-YZJ-1,YZJ,21sp,0,3.8,0.2725,0.7275,0,0,0,0,0,0,0,0,0,10553,47213,57766,Mixed,2.743,3.592,0.116,0.671,1.013,58.162,421.521,137.982,4.011,-22.206,5.432,168.6896552,171.868096,1.847534587,0.599842205
85,Pa-21sp-YZJ-2,YZJ,21sp,0,3.8,0.9986,0,0,0,0,0,0,0,0,0.0014,0,40808,27492,68300,D1-dominated,3.296,6.955,0.13,0.85,1.083,65.463,559.424,117.019,4.741,-20.255,4.964,296.8333333,295.904657,3.875113102,0.94932791
86,Pa-21sp-YZJ-3,YZJ,21sp,0,3.8,0.9996,0.0004,0,0,0,0,0,0,0,0,0,67755,27,67782,D1-dominated,5.438,4.694,0.066,0.799,0.991,59.477,723.363,82.223,4.247,-20.578,6.307,212.6666667,212.838006,4.041516474,0.96139923
87,Pa-21sp-ZJD-1,ZJD,21sp,0,6.7,0.0002,0.9436,0.0489,0,0,0,0.007,0,0,0,0.0003,11,63586,63597,C1-dominated,2.382,2.589,0.241,0.68,1.223,68.867,421.699,163.307,4.28,-20.497,5.019,231.375,231.8099399,3.227906879,0.80892531
88,Pa-21sp-ZJD-2,ZJD,21sp,0,6.7,0.0004,0.6861,0.0397,0,0,0,0.0072,0,0,0,0.2666,19,51391,51410,Mixed,3,3.519,0.24,0.484,1.083,58.614,336.329,174.275,4.482,-18.928,6.382,163.5454545,160.8836495,3.363788478,0.938645245
89,Pa-21sp-ZSD-1,ZSD,21sp,0,8,0.9475,0.0072,0.0215,0,0,0,0,0.003,0.0208,0,0,63272,3962,67234,D1-dominated,2.34,7.974,0.078,0.544,0.665,40.681,447.151,90.978,2.951,-19.158,5.415,145.875,145.6665463,2.530623091,0.786589645
